S0063,NTU Pavilion 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-4.8,4.0,14.7,15.6,23.1,30.7,35.6,39.0,39.2,39.1,43.0,44.9,48.1,44.6,41.4,44.1,46.1,48.4,49.8,49.4,48.0,46.2,42.9,41.3,46.9,36.0,32.7,42.2,28.9,29.2,41.5,18.2,9.7,3.0
S0063,NTU Pavilion 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),47.9,50.2,56.2,57.2,58.4,61.8,64.4,64.6,61.6,58.0,58.8,58.3,58.8,53.9,48.0,48.9,49.3,50.3,50.7,49.4,47.4,45.2,41.5,39.7,45.2,34.2,30.9,40.3,27.0,27.3,39.6,16.3,7.8,1.1
S0063,NTU Pavilion 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),59.6,60.7,61.2,62.2,61.4,63.7,65.8,65.5,62.2,58.3,59.0,58.4,58.8,53.9,48.0,48.9,49.3,50.3,50.7,49.4,47.4,45.2,41.7,40.1,45.7,35.0,32.2,42.3,30.0,31.4,45.6,24.3,18.5,12.3
S0064,NTU Pavilion 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),0.3,6.6,16.7,17.6,25.1,34.0,39.1,42.0,41.6,42.2,45.6,47.6,51.9,47.3,46.2,47.9,49.4,51.7,53.5,54.0,52.8,52.1,49.7,48.2,50.9,43.5,41.2,45.3,34.2,32.8,44.9,23.4,12.2,3.6
S0064,NTU Pavilion 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),53.0,54.6,58.2,59.2,60.4,64.8,67.8,67.8,64.0,61.0,61.5,60.9,62.8,56.3,52.8,52.7,52.6,53.6,54.3,54.0,52.3,51.0,48.3,46.7,49.2,41.7,39.4,43.4,32.3,30.9,43.0,21.5,10.3,1.7
S0064,NTU Pavilion 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),64.7,65.6,63.2,64.1,63.5,66.7,69.2,68.7,64.6,61.3,61.7,61.0,62.8,56.3,52.8,52.7,52.6,53.6,54.3,54.0,52.3,51.1,48.5,47.0,49.7,42.5,40.6,45.4,35.2,35.1,49.1,29.6,20.9,12.9
S0065,NTU Pavilion 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-1.2,8.0,18.8,19.7,27.1,35.1,40.2,43.8,45.1,46.5,49.2,51.9,56.8,55.6,52.6,54.1,55.2,57.7,58.4,58.4,57.6,57.4,55.3,53.1,51.2,48.0,44.7,42.4,38.3,33.5,29.7,24.3,19.2,13.5
S0065,NTU Pavilion 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),51.6,54.0,60.3,61.3,62.4,66.1,68.9,69.4,67.3,65.3,65.2,65.1,67.6,64.6,59.4,58.9,58.4,59.7,59.2,58.4,57.0,56.4,53.9,51.5,49.5,46.2,42.9,40.5,36.4,31.6,27.8,22.4,17.3,11.6
S0065,NTU Pavilion 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),63.2,64.4,65.3,66.2,65.5,68.0,70.3,70.3,67.9,65.6,65.4,65.2,67.6,64.6,59.4,58.9,58.4,59.7,59.2,58.4,57.0,56.5,54.1,51.8,50.0,47.0,44.2,42.5,39.4,35.9,33.8,30.7,28.1,22.8
S0066,NTU Pavilion 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),19.4,21.3,26.3,27.2,33.6,36.9,39.8,43.4,46.1,46.3,49.7,51.5,54.3,53.6,53.7,54.3,54.7,55.7,56.2,56.0,55.7,55.3,53.5,52.8,51.9,50.7,49.3,48.4,46.9,45.0,43.5,42.0,39.4,33.9
S0066,NTU Pavilion 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),72.1,73.0,67.8,68.8,69.1,69.4,68.8,68.7,68.2,65.3,65.6,64.8,65.2,62.5,60.4,59.1,57.9,57.7,57.1,56.0,55.1,54.2,52.1,51.2,50.2,49.0,47.5,46.5,45.0,43.1,41.6,40.1,37.5,32.0
S0066,NTU Pavilion 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),83.8,84.6,72.8,73.7,72.3,71.6,70.2,69.6,68.8,65.6,65.8,64.9,65.2,62.5,60.4,59.1,57.9,57.7,57.1,56.0,55.1,54.3,52.3,51.5,50.7,49.8,48.8,48.5,48.0,47.6,47.7,48.5,48.4,43.2
S0067,NTU Pavilion 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-2.1,7.2,18.0,19.0,26.9,35.6,40.9,44.9,45.7,46.0,48.6,51.6,56.7,54.2,51.1,52.6,54.0,57.8,59.4,59.4,58.9,58.8,56.4,54.5,52.5,49.4,46.5,44.2,39.8,34.8,29.2,27.0,20.4,13.6
S0067,NTU Pavilion 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),50.7,53.1,59.6,60.5,62.1,66.5,69.6,70.3,68.2,64.8,64.5,64.8,67.5,63.3,57.7,57.4,57.2,59.7,60.2,59.5,58.3,57.8,55.0,52.9,50.8,47.7,44.7,42.3,37.9,32.9,27.3,25.1,18.5,11.7
S0067,NTU Pavilion 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),62.3,63.5,64.5,65.5,65.1,68.3,70.9,71.2,68.7,65.1,64.7,64.9,67.6,63.3,57.7,57.4,57.2,59.7,60.2,59.5,58.3,57.9,55.2,53.2,51.3,48.5,45.9,44.3,40.9,37.2,33.4,33.6,29.2,22.9
S0068,NTU Pavilion 6,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-4.1,5.0,15.8,16.7,23.8,31.7,36.5,39.9,40.5,40.6,44.3,46.1,49.1,45.2,42.5,44.7,46.5,48.9,50.2,49.7,49.2,48.1,44.9,42.8,50.6,36.6,33.4,44.7,30.1,30.6,44.4,24.8,18.3,13.0
S0068,NTU Pavilion 6,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),48.7,51.0,57.3,58.3,59.2,62.7,65.3,65.5,62.9,59.5,60.2,59.3,59.9,54.2,49.1,49.4,49.7,50.8,51.1,49.8,48.6,47.1,43.5,41.2,48.9,34.8,31.5,42.8,28.2,28.7,42.5,22.9,16.4,11.1
S0068,NTU Pavilion 6,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),60.3,61.5,62.3,63.2,62.3,64.6,66.7,66.4,63.4,59.8,60.4,59.4,59.9,54.2,49.1,49.4,49.7,50.8,51.1,49.8,48.6,47.2,43.7,41.5,49.4,35.6,32.9,44.7,31.4,32.7,48.5,31.0,27.2,22.3
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-4.1,5.7,16.6,17.6,25.1,32.9,38.1,41.7,41.8,41.7,45.8,47.9,52.4,49.4,47.6,49.4,49.9,52.1,54.1,54.9,54.5,53.9,51.4,49.7,48.2,44.8,42.6,41.8,38.3,34.1,32.5,26.3,21.8,13.6
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),48.6,51.3,58.2,59.1,60.4,64.0,66.8,67.3,64.3,60.5,61.6,61.3,63.2,58.5,54.1,54.3,53.1,54.1,54.9,54.9,53.9,52.9,50.0,48.2,46.5,43.0,40.7,39.9,36.4,32.2,30.6,24.4,19.9,11.7
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),60.3,61.5,63.1,64.1,63.5,65.9,68.1,68.2,64.9,60.8,61.8,61.4,63.2,58.5,54.1,54.3,53.1,54.1,54.9,54.9,53.9,52.9,50.2,48.5,47.0,43.8,42.0,41.9,39.3,36.5,36.6,32.7,30.4,22.9
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-5.7,2.4,13.0,13.9,22.1,27.3,32.2,36.1,36.3,38.0,40.0,41.0,44.5,44.0,45.6,46.8,49.0,51.8,53.2,55.6,56.5,57.8,58.3,57.8,59.5,58.2,57.9,57.9,55.8,52.4,48.5,44.9,37.1,27.0
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),47.0,49.1,54.5,55.5,57.3,59.1,60.7,61.7,58.7,56.8,56.0,54.3,55.3,52.7,52.2,51.7,52.1,53.7,54.0,55.6,55.9,56.7,57.0,56.3,57.8,56.4,56.0,56.0,53.9,50.5,46.6,43.0,35.2,25.1
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),58.7,59.8,59.5,60.4,60.3,61.1,62.1,62.6,59.2,57.1,56.2,54.4,55.3,52.7,52.2,51.7,52.1,53.7,54.0,55.6,55.9,56.8,57.2,56.6,58.3,57.2,57.3,58.0,56.9,54.9,52.7,51.1,45.9,36.3
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.4,-3.0,7.8,8.7,17.9,23.3,28.1,33.3,36.8,39.8,43.9,45.2,49.1,50.3,49.0,48.4,45.7,45.3,41.7,38.3,37.1,39.6,35.4,34.9,37.9,32.6,30.0,32.1,26.6,22.3,29.3,20.1,17.8,13.0
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),40.3,42.8,49.3,50.3,53.0,55.0,56.7,58.5,58.9,58.6,59.9,58.6,60.0,58.9,55.8,53.4,48.9,47.3,42.7,38.4,36.6,38.5,34.0,33.4,36.3,30.8,28.2,30.2,24.7,20.4,27.4,18.2,15.9,11.1
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),52.0,53.2,54.3,55.2,55.9,57.1,58.1,59.4,59.4,58.9,60.1,58.7,60.0,58.9,55.8,53.4,48.9,47.3,42.7,38.4,36.6,38.6,34.2,33.7,36.7,31.6,29.5,32.1,27.6,24.8,33.2,26.6,26.8,22.3
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-13.4,-4.1,6.7,7.7,15.9,20.8,25.2,28.9,30.1,35.3,39.6,35.7,36.6,36.0,35.7,36.2,37.1,38.7,38.7,36.6,35.0,36.2,36.6,38.9,40.1,36.9,34.9,34.3,31.5,22.1,20.8,19.9,17.8,13.0
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),39.4,41.8,48.3,49.2,51.1,52.7,53.9,54.4,52.4,53.6,55.9,49.2,47.5,44.8,42.4,41.0,40.3,40.7,39.5,36.6,34.4,35.2,35.2,37.3,38.4,35.1,33.1,32.4,29.6,20.2,18.9,18.0,15.9,11.1
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),51.0,52.2,53.2,54.2,54.1,54.8,55.3,55.3,53.0,53.9,56.2,49.3,47.5,44.8,42.4,41.0,40.3,40.7,39.5,36.6,34.4,35.3,35.4,37.6,38.9,35.9,34.4,34.4,32.3,24.7,25.1,26.4,26.8,22.3
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.5,-5.8,4.4,5.4,13.9,18.1,22.4,26.9,28.7,37.2,42.1,34.8,31.2,31.2,32.6,34.7,34.5,36.2,36.0,35.6,34.5,34.4,33.3,35.1,33.4,32.3,32.9,32.3,30.7,23.0,21.2,20.1,17.9,13.1
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),40.2,41.9,46.0,46.9,49.0,50.2,51.0,52.2,51.0,55.3,58.5,48.5,42.1,40.0,39.2,39.5,37.8,38.1,36.9,35.7,34.0,33.3,31.9,33.5,31.7,30.5,31.1,30.4,28.8,21.1,19.3,18.2,16.0,11.2
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),51.9,52.9,51.0,51.9,52.0,52.4,52.4,53.1,51.6,55.6,58.8,48.6,42.1,40.0,39.2,39.5,37.8,38.1,36.9,35.7,34.0,33.4,32.1,33.8,32.2,31.3,32.4,32.5,31.6,25.5,25.5,26.6,26.9,22.4
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.9,-5.7,4.6,5.6,13.2,17.3,20.7,23.2,24.5,30.5,32.8,27.8,29.6,29.7,28.7,30.5,31.1,32.2,32.1,31.7,30.2,31.1,30.8,31.4,33.5,32.3,31.0,30.1,27.6,22.0,22.8,19.9,17.8,13.0
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),39.8,41.6,46.2,47.1,48.5,49.4,49.6,48.9,46.6,48.8,49.4,41.2,40.5,38.5,35.4,35.4,34.3,34.2,33.0,31.7,29.6,30.1,29.4,29.9,31.8,30.5,29.2,28.2,25.7,20.1,20.9,18.0,15.9,11.1
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),39.8,41.6,46.2,47.1,48.5,49.4,49.6,48.9,46.6,48.8,49.4,41.2,40.5,38.5,35.4,35.4,34.3,34.2,33.0,31.7,29.6,30.1,29.4,29.9,31.8,30.5,29.2,28.2,25.7,20.1,20.9,18.0,15.9,11.1
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-9.9,-3.5,6.5,7.4,15.9,20.6,25.3,29.5,29.2,29.4,32.1,36.1,37.1,37.1,36.6,35.6,34.3,35.5,36.1,34.7,34.0,34.0,33.7,34.4,38.6,37.3,33.8,28.7,26.3,22.3,21.2,20.0,17.9,13.1
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),42.9,44.5,48.0,49.0,51.1,52.5,53.8,55.0,51.9,48.2,48.0,49.3,47.9,45.9,43.3,40.5,37.6,37.5,37.0,34.7,33.4,32.9,32.3,32.8,36.9,35.5,32.0,26.8,24.4,20.4,19.3,18.1,16.0,11.2
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),54.5,55.5,53,54,54,54.6,55.1,55.9,52.4,48.6,48.2,49.4,48,45.9,43.3,40.5,37.6,37.5,37,34.7,33.4,33,32.5,33.1,37.4,36.3,33.3,28.9,27.2,24.8,25.4,26.5,26.9,22.4
