Title,Latitude,Longitude,Type,vidEmbed,vidLink_oneMin,vidLink_full
NTU Sports and Recreation Centre,1.3502707,103.6881645,C&T,https://youtube.com/embed/REmxz-1Pf7Q,https://youtu.be/ADzSYviV0Gc,https://youtu.be/REmxz-1Pf7Q
Intersection of Jurong West Street 63 & Jurong West Street 64,1.3376,103.702834,C&R,https://www.youtube.com/embed/7iV2FOR48FQ,https://youtu.be/qskVz-fkItU,https://youtu.be/7iV2FOR48FQ
Singapore Discovery Centre,1.3314139,103.6782363,B&L,https://www.youtube.com/embed/NETpq50GJao,https://youtu.be/MmVc0-cDdrE,https://youtu.be/NETpq50GJao
Tampines Central 7,1.3581378,103.9400907,C&R,https://www.youtube.com/embed/q04g1INdn5A,https://youtu.be/_2MbSIqL0Cg,https://youtu.be/q04g1INdn5A
Tampines Eco Green Park,1.363324,103.9461632,C&T,https://www.youtube.com/embed/8xmRBVsQf-4,https://youtu.be/wy25PHRmTE0,https://youtu.be/8xmRBVsQf-4
White Sands Shopping Mall,1.3728609,103.9508064,B&L,https://www.youtube.com/embed/oLjJXGHPr98,https://youtu.be/jmIQ_dwTGig,https://youtu.be/oLjJXGHPr98
Singapore University of Technology and Design Staff Housing,1.342477,103.9637642,B&L,https://www.youtube.com/embed/vGQoPN63uLQ,https://youtu.be/VS_Mzlp7b4E,https://youtu.be/vGQoPN63uLQ
Changi Beach Park,1.3909713,103.9884356,C&T,https://www.youtube.com/embed/RMcyq8oq3Tg,https://youtu.be/kEw58WqG7WY,https://youtu.be/RMcyq8oq3Tg
Harrison Industrial Building,1.3330752,103.8869456,C&R,https://www.youtube.com/embed/ZrAF-kaG_-c,https://youtu.be/SPpHUa3VlDg,https://youtu.be/ZrAF-kaG_-c
East Coast Park (Area C),1.301258,103.915458,C&T,https://www.youtube.com/embed/vmTkxvmIREU,https://youtu.be/VDIdwPTqTTU,https://youtu.be/vmTkxvmIREU
Changi Airport Terminal 1 (Information Counter),1.360501,103.990074,F&E,https://www.youtube.com/embed/4Lpm3qYoaUw,https://youtu.be/OUSOOjNhYlY,https://youtu.be/4Lpm3qYoaUw
Changi Airport Terminal 1 (Arrival Gate),1.36049,103.99058,C&R,https://www.youtube.com/embed/lIDs8Q5c3uw,https://youtu.be/tDLKe5j4eRo,https://youtu.be/lIDs8Q5c3uw
Bedok Interchange Hawker Centre,1.324892,103.930391,C&R,https://www.youtube.com/embed/56aZoFDTfEM,https://youtu.be/Bv54AFFFn-w,https://youtu.be/56aZoFDTfEM
Teban Neighbourhood Park,1.320978,103.740566,B&L,https://www.youtube.com/embed/Ukk7otXXx0g,https://youtu.be/eLPL-oiQmx0,https://youtu.be/Ukk7otXXx0g
Jurong East MRT Station,1.333402,103.742122,F&E,https://www.youtube.com/embed/wSfpl6pQL3Q,https://youtu.be/o76Z4LxFGJw,https://youtu.be/wSfpl6pQL3Q
Lim Chu Kang Road,1.372323,103.694445,B&L,https://www.youtube.com/embed/6hKaO59BjmI,https://youtu.be/O6yR4wC7h0s,https://youtu.be/6hKaO59BjmI
Intersection of Tuas West Drive & Pioneer Road,1.3343,103.634928,C&R,https://www.youtube.com/embed/ndjeDKXQjKY,https://youtu.be/97213CTRk3w,https://youtu.be/ndjeDKXQjKY
Sungei Buloh Wetland Reserve (Mangrove Boardwalk),1.4473974,103.730346,F&E,https://www.youtube.com/embed/wvCBZzg1RMg,https://youtu.be/acdtDyCbcTc,https://youtu.be/wvCBZzg1RMg
Sungei Buloh Wetland Reserve (Buloh Besar River),1.445906,103.727592,C&T,https://www.youtube.com/embed/fmg-9xzQlSI,https://youtu.be/GsKnq0LmOqg,https://youtu.be/fmg-9xzQlSI
Tuas West Road MRT Station,1.3319689,103.6401685,B&L,https://www.youtube.com/embed/F965vGIxhbo,https://youtu.be/JydMg0ojMGg,https://youtu.be/F965vGIxhbo
Handy Road (Opposite Plaza Singapura Shopping Mall),1.2997473,103.8459958,C&R,https://www.youtube.com/embed/lF19TyOE2KA,https://youtu.be/bgN1w76V_T4,https://youtu.be/lF19TyOE2KA
Opposite Clarke Quay Shopping Mall,1.290159,103.8474086,F&E,https://www.youtube.com/embed/3P_pgt7EIAw,https://youtu.be/yAwNMTMUe-c,https://youtu.be/3P_pgt7EIAw
Tampines Central Bus Interchange,1.3538826,103.9448375,F&E,https://www.youtube.com/embed/1veOJzKazLU,https://youtu.be/8JkNPt2cNIk,https://youtu.be/1veOJzKazLU
Jalan Senyum,1.32217,103.9143689,B&L,https://www.youtube.com/embed/7ltPau9ZiSY,https://youtu.be/Fq6gP5N0ll0,https://youtu.be/7ltPau9ZiSY
Parkway Parade Shopping Mall,1.3017126,103.90579,F&E,https://www.youtube.com/embed/5LJmlCw_txk,https://youtu.be/wXtvEtq7n-A,https://youtu.be/5LJmlCw_txk
Sembawang Park,1.462196,103.836771,C&T,https://www.youtube.com/embed/wfZP_CXCRaI,https://youtu.be/BWq6SnZjxNk,https://youtu.be/wfZP_CXCRaI
S-11 Yishun 744 Hawker Centre,1.429337,103.834189,C&R,https://www.youtube.com/embed/I7iSE_LJuD4,https://youtu.be/Gk_9U3hPPbk,https://youtu.be/I7iSE_LJuD4
Upper Seletar Resevoir,1.397272,103.802971,C&T,https://www.youtube.com/embed/m4_cK8tyuPs,https://youtu.be/lqhIaWs57fw,https://youtu.be/m4_cK8tyuPs
Botanic Gardens Eco Lake,1.320611,103.81609,C&T,https://www.youtube.com/embed/vFsPUWBGAwU,https://youtu.be/mFi9QBXmy7Q,https://youtu.be/vFsPUWBGAwU
Napier Road,1.306068,103.816902,B&L,https://www.youtube.com/embed/6oPo8lPEyJk,https://youtu.be/6pRhpXTXLXE,https://youtu.be/6oPo8lPEyJk
Holland Village Market & Food Centre (Main entrance),1.311237,103.795134,F&E,https://www.youtube.com/embed/x8cIDqrwVwI,https://youtu.be/bZiDoPMSk8Q,https://youtu.be/x8cIDqrwVwI
Raffles Marina,1.342688,103.634945,F&E,https://www.youtube.com/embed/XurCYP3FtTE,https://youtu.be/0hNJU8dmS2c,https://youtu.be/XurCYP3FtTE
Johor Straits Lighthouse,1.344109,103.633988,C&T,https://www.youtube.com/embed/KfrL2Kvxuns,https://youtu.be/RCbKd-jWD-Q,https://youtu.be/KfrL2Kvxuns
Jurong West Street 93,1.337139,103.693877,F&E,https://www.youtube.com/embed/gb2DliHYpZQ,https://youtu.be/7Tfik1aEBuI,https://youtu.be/gb2DliHYpZQ
Punggol Waterway Park,1.411475,103.902547,C&T,https://www.youtube.com/embed/e2iEJHBgO34,https://youtu.be/PRVl9MYWc9c,https://youtu.be/e2iEJHBgO34
Compass One Shopping Mall,1.392516,103.895626,F&E,https://www.youtube.com/embed/6bsW68KpdCo,https://youtu.be/Kg-AtRZHxv8,https://youtu.be/6bsW68KpdCo
Sengkang Bus Interchange,1.391887,103.89671,C&R,https://www.youtube.com/embed/7KCWAXrXoIw,https://youtu.be/1eDmTY9omak,https://youtu.be/7KCWAXrXoIw
Sengkang Riverside Park,1.399461,103.883968,B&L,https://www.youtube.com/embed/GRCwuf351Ls,https://youtu.be/S4o4Cgi_kss,https://youtu.be/GRCwuf351Ls
Hougang Block 236,1.357766,103.888986,B&L,https://www.youtube.com/embed/JodTgtQck_I,https://youtu.be/zbrc7jcd1WM,https://youtu.be/JodTgtQck_I
Mandai Estate,1.40766,103.757744,B&L,https://www.youtube.com/embed/tj2y6f0T5UU,https://youtu.be/z6YuOvP8zQE,https://youtu.be/tj2y6f0T5UU
Singapore Zoo (Inuka Cafe),1.404775,103.790638,F&E,https://www.youtube.com/embed/1UDIybLh1MM,https://youtu.be/ZToKcxgITcA,https://youtu.be/1UDIybLh1MM
Intersection of Woodlands Road & Choa Chu Kang Road,1.37966,103.760721,C&R,https://www.youtube.com/embed/o9vxcPOsixA,https://youtu.be/sYzV4dL2wWY,https://youtu.be/o9vxcPOsixA
The Grandstand Shopping Mall,1.336898,103.793471,B&L,https://www.youtube.com/embed/1n6kXMJTeTA,https://youtu.be/qX6DEzL0qQg,https://youtu.be/1n6kXMJTeTA
Holland Village Market & Food Centre (Lorong Mambong),1.312114,103.794243,C&R,https://www.youtube.com/embed/mTy1NPcUGGU,https://youtu.be/HWJr09vTaEc,https://youtu.be/mTy1NPcUGGU
VivoCity (Shopping Mall),1.2630914,103.8226696,F&E,https://www.youtube.com/embed/ALLK-iVxQ4M,https://youtu.be/nRS28HiCCss,https://youtu.be/ALLK-iVxQ4M
Bishan MRT Station,1.3507496,103.8479319,C&R,https://www.youtube.com/embed/rj0w-3tT3dk,https://youtu.be/-j9ISKoCsqk,https://youtu.be/rj0w-3tT3dk
Junction 8 Shopping Mall,1.350464,103.8491,F&E,https://www.youtube.com/embed/YW3vXDf95FU,https://youtu.be/Aavt1fEEHlw,https://youtu.be/YW3vXDf95FU
Asian Civilisations Museum,1.2869643,103.8511803,B&L,https://www.youtube.com/embed/UdU4QPc6B28,https://youtu.be/DAuxF1xTU_w,https://youtu.be/UdU4QPc6B28
National Gallery Singapore,1.2903992,103.8522353,C&T,https://www.youtube.com/embed/-y_n_XWdgZ8,https://youtu.be/cSnMAC6FMDA,https://youtu.be/-y_n_XWdgZ8
Woodlands North Plaza,1.44248,103.790875,B&L,https://www.youtube.com/embed/HVSnY0QjNPs,https://youtu.be/nuxvAnutpaA,https://youtu.be/HVSnY0QjNPs
Admiralty Park,1.444251,103.781903,C&T,https://www.youtube.com/embed/BOXcT0IUOIk,https://youtu.be/JwNUZh_W0UA,https://youtu.be/BOXcT0IUOIk
Woodlands MRT Station,1.436908,103.786128,F&E,https://www.youtube.com/embed/WG1v8RLDtzo,https://youtu.be/CK6u7Lquh-g,https://youtu.be/WG1v8RLDtzo
Ang Mo Kio Town Garden West,1.3745452,103.841668,C&T,https://www.youtube.com/embed/VE560mzNlZc,https://youtu.be/UbnrtCryd4Y,https://youtu.be/VE560mzNlZc
Bishan Harmony Park,1.3445156,103.8473121,B&L,https://www.youtube.com/embed/mFIRPcw4IA8,https://youtu.be/_xB5mfusfMA,https://youtu.be/mFIRPcw4IA8
Bukit Timah Hill (Simpang Hut),1.3531365,103.7774697,C&T,https://www.youtube.com/embed/aAcdK5wLwL0,https://youtu.be/0y4I19IEquQ,https://youtu.be/aAcdK5wLwL0
Jurong Lake Gardens,1.334721,103.727506,C&T,https://www.youtube.com/embed/gHNCRCwAy0A,https://youtu.be/HW3Wxmn2OHE,https://youtu.be/gHNCRCwAy0A
IMM Shopping Mall,1.335417,103.744832,C&R,https://www.youtube.com/embed/t9oI3k9e16Y,https://youtu.be/kfkMgqfx0EU,https://youtu.be/t9oI3k9e16Y
Tuas South Avenue 7,1.284397,103.630698,B&L,https://www.youtube.com/embed/DRtuCEIRHSI,https://youtu.be/Nsb2Amo29gc,https://youtu.be/DRtuCEIRHSI
Opposite SPC Admiralty (Petrol Station),1.442259,103.775228,C&R,https://www.youtube.com/embed/OR040bRD-Zc,https://youtu.be/We8TsEi51Pk,https://youtu.be/OR040bRD-Zc
Old Nelson Road,1.448508,103.823187,B&L,https://www.youtube.com/embed/TZAII0S3MDI,https://youtu.be/lz-f1Mi3zSw,https://youtu.be/TZAII0S3MDI
Khatib MRT Station,1.417219,103.833348,B&L,https://www.youtube.com/embed/TZAII0S3MDI,https://youtu.be/_ttqP29RVHE,https://youtu.be/VUzfAaC9hCU
Yishun MRT Station,1.429314,103.834749,F&E,https://www.youtube.com/embed/43DcV7HjHls,https://youtu.be/cPnVe2XU1u0,https://youtu.be/43DcV7HjHls
NTU Pavilion 1,1.34211,103.68445,-,https://www.youtube.com/embed/j3rV-xJydno,,https://youtu.be/j3rV-xJydno
NTU Pavilion 2,1.34186,103.68427,-,https://www.youtube.com/embed/4hKICiUF4QA,,https://youtu.be/4hKICiUF4QA
NTU Pavilion 3,1.34208,103.68471,-,https://www.youtube.com/embed/wVoG17q_6E4,,https://youtu.be/wVoG17q_6E4
NTU Pavilion 4,1.34276,103.6848,-,https://www.youtube.com/embed/oAtJtyhyrcA,,https://youtu.be/oAtJtyhyrcA
NTU Pavilion 5,1.3427,103.68552,-,https://www.youtube.com/embed/Tw81QBSGSkg,,https://youtu.be/Tw81QBSGSkg
NTU Pavilion 6,1.3433,103.68552,-,https://www.youtube.com/embed/A5awQ57drn4,,https://youtu.be/A5awQ57drn4
NTU Pavilion 7,1.34337,103.68614,-,https://www.youtube.com/embed/WCXGIloZUQc,,https://youtu.be/WCXGIloZUQc
NTU Waterfall,1.3434,103.68493,-,https://www.youtube.com/embed/KsuaGmA6ZiI,,https://youtu.be/KsuaGmA6ZiI
NTU Location 9,1.34531,103.68459,-,https://www.youtube.com/embed/OPcaQu69fSM,,https://youtu.be/OPcaQu69fSM
NTU Location 10 ,1.34637,103.68512,-,https://www.youtube.com/embed/RLJSNhvKS24,,https://youtu.be/RLJSNhvKS24
NTU Location 11,1.34615,103.68541,-,https://www.youtube.com/embed/lWf9D-hnhmA,,https://youtu.be/lWf9D-hnhmA
NTU Location 12,1.345068,103.684961,-,https://www.youtube.com/embed/90H-DqAeoK8,,https://youtu.be/90H-DqAeoK8
NTU Location 13,1.344747,103.684974,-,https://www.youtube.com/embed/i4frUjQBmXk,,https://youtu.be/i4frUjQBmXk
